,items
0,Ulaxy 20mg Tablet
1,Ulbac Plus 1.5gm Injection
2,Ulben 400mg Tablet
3,Ulbipen D 10 mg/40 mg Tablet
4,Ulcare 20mg Capsule
5,Ulceburg 40mg Tablet
6,Ulceburg D 10mg/40mg Tablet
7,Ulceburg D 10mg/40mg Tablet
8,Ulcecare L 75mg/20mg Capsule
9,Ulcecure 20mg Capsule
10,Ulcecure Gel
11,Ulcef 1000mg Injection
12,Ulcef O 100mg Tablet
13,Ulcef O 200mg Tablet
14,Ulcef S 1000mg/500mg Injection
15,Ulcego 20mg Capsule
16,Ulcego D 10mg/20mg Tablet
17,Ulceheal Gel
18,Ulcelak 20mg Capsule
19,Ulcep 40mg Tablet
20,Ulcepan 40mg Tablet
21,Ulcepan DSR 30 mg/40 mg Capsule
22,Ulcepan DSR Tablet
23,Ulcer Gud Syrup
24,Ulcerab 20mg Tablet
25,Ulcerab D 30mg/20mg Capsule SR
26,Ulcerab IT 20mg/150mg Capsule
27,Ulcerab-LS 75mg/20mg Capsule
28,Ulceran 150mg Tablet
29,Ulcerav IT 20mg/150mg Capsule
30,Ulcerin 50mg Capsule
31,Ulceropan IV 40mg Injection
32,Ulcet L 5mg Tablet
33,Ulcet LM 5mg/10mg Tablet
34,Ulcevin 20mg Tablet
35,Ulcevin-D 10mg/20mg Tablet
36,Ulcevin-DSR 30mg/40mg Capsule
37,Ulcez 20mg Capsule
38,Ulciban 200mg Tablet
39,Ulciban 400mg Tablet
40,Ulcicap 20mg Capsule
41,Ulcicap D 10 mg/20 mg Tablet
42,Ulcicap PD 30 mg/40 mg Tablet
43,Ulcicare D 10mg/40mg Tablet
44,Ulcicoat O 1000mg/20mg Suspension
45,Ulcicure Capsule
46,Ulcicure D 10 mg/20 mg Capsule
47,Ulcicure Syrup
48,Ulcicure Syrup
49,Ulcidaz M Syrup
50,Ulcidin 150mg Tablet
51,Ulcidoc 40mg Injection
52,Ulcidoc 40mg Tablet
53,Ulcidoc D 10mg/40mg Tablet
54,Ulcidoc LS 75mg/40mg Capsule
55,Ulcidom 10mg/150mg Tablet
56,Ulcidome 10mg/150mg Tablet
57,Ulcifate O Oral Suspension
58,Ulciful DSR 30mg/40mg Capsule
59,Ulcigard 20mg Capsule
60,Ulcigard D 10 mg/20 mg Capsule
61,Ulcigard Forte 10 mg/20 mg Tablet
62,Ulcigard Forte 10 mg/20 mg Tablet
63,Ulcigard Forte 10 mg/40 mg Tablet SR
64,Ulcigard Forte 10 mg/40 mg Tablet SR
65,Ulcigard O Oral Suspension
66,Ulcikit 20mg/500mg/750mg Kit
67,Ulcillin 1000mg Injection
68,Ulcimat 20 Capsule
69,Ulcimat-D Capsule
70,Ulcimat-D Capsule
71,Ulcinorm Oral Suspension
72,Ulcipan 40mg Tablet
73,Ulcipan D 10 mg/20 mg Capsule
74,Ulcipan D 10 mg/20 mg Capsule
75,Ulcipan Injection
76,Ulcipen 40mg Tablet
77,Ulcipen D 10mg/40mg Tablet
78,Ulcipil 20mg Tablet
79,Ulcipil DSR 30mg/20mg Capsule
80,Ulcipin O Syrup
81,Ulcipra Forte 20mg Capsule
82,Ulcipride 10mg Tablet
83,Ulcipride MPS Tablet
84,Ulcirab 20mg Tablet
85,Ulcirab-D Capsule SR
86,Ulcirab-LSR Capsule
87,Ulciran 150mg Tablet
88,Ulciran 300mg Tablet
89,Ulcireb 20mg Tablet
90,Ulcireb-D Tablet
91,Ulcireb-DP Capsule SR
92,Ulcireb-DSR Capsule
93,Ulcireb-ISR 20mg/150mg Capsule
94,Ulcireb-LS Capsule SR
95,Ulcirid 150mg Tablet
96,Ulcirid 40mg Injection
97,Ulcitab 150mg Tablet
98,Ulcitab 300mg Tablet
99,Ulcitab D 40 mg/10 mg Tablet
100,Ulcitam 150mg Tablet
101,Ulcitin 150mg Tablet
102,Ulcitrol 150mg Tablet
103,Ulciwok Gel
104,Ulcizil Oral Suspension
105,Ulclav 200mg/28.5mg Dry Syrup
106,Ulclav 500mg/125mg Tablet
107,Ulco Fit 20mg Capsule
108,Ulco-Fit D Capsule
109,Ulcoat 100ml Suspension
110,Ulcoat Ano Rectal Cream
111,Ulcoat O 100ml Suspension
112,Ulcomez 40mg Injection
113,Ulcon 5 mg/2.5 mg Tablet
114,Ulcon P 5 mg/2.5 mg Tablet
115,Ulcon-MV 135mg/5mg Tablet
116,Ulcort 6mg Tablet
117,Ulcort Oral Suspension
118,Ulcrate 1000mg Oral Suspension
119,Ulcrate-O Oral Suspension Sugar Free
120,Ulcure 10mg/20mg Tablet
121,Ulcure 40mg Tablet
122,Ulcure 40mg Tablet
123,Ulcure D 30mg/20mg Capsule SR
124,Uldix 0.5mg Tablet
125,Uldom 10mg/40mg Tablet
126,Uldom 10mg/40mg Tablet
127,Uldoxim 100mg Dry Syrup
128,Uldoxim 200mg Tablet
129,Ulean 50mg Injection
130,Uleev 250mg Tablet
131,Ulepride 2mg Tablet
132,Ulerine MF 80mg/250mg Tablet
133,Ulerzine 5mg Tablet
134,Ulerzine M 5mg/10mg Tablet
135,Ulerzine M Syrup
136,Ulev 500mg Tablet
137,Uleve M 5mg/10mg Tablet
138,Uleve M Kid Syrup
139,Ulexetin 20mg Tablet
140,Ulfast 150mg Tablet
141,Ulfast 300mg Tablet
142,Ulfaz 1gm Injection
143,Ulfaz 500mg Injection
144,Ulfaz S 1000mg/500mg Injection
145,Ulfaz T 1000mg/125mg Injection
146,Ulfiram 250mg Tablet
147,Ulgel Oral Suspension Elaichi Sugar Free
148,Ulgel Oral Suspension Saunf
149,Ulgel Oral Suspension Saunf Sugar Free
150,Ulgel Tablet
151,Ulgel Tablet Saunf
152,Ulgel-A Oral Suspension
153,Ulgene Oral Gel
154,Ulgo 30mg Capsule
155,Ulgo DSR Capsule
156,Ulgram 250mg/300mg Tablet
157,Ulgram 500mg/600mg Tablet
158,Uli-Vin Injection
159,Ulic Cream
160,Ulic Soap
161,Ulican 1% Cream
162,Ulicef 1000mg Injection
163,Ulicef 250mg Injection
164,Ulicef 500mg Injection
165,Ulicef S 1000mg/500mg Injection
166,Ulicef TZ 1000mg/125mg Injection
167,Uliclav 1000mg/200mg Injection
168,Ulid Forte 100mg/500mg Tablet
169,Ulide 100mg Tablet
170,Ulide Plus 100mg/500mg Tablet
171,Ulide Suspension
172,Uliderm 1% Lotion
173,Uliderm Cream
174,Ulifast 100000IU Injection
