,items
0,Up Beat 30mg Capsule
1,Upar Plus 50mg/500mg Tablet
2,Upbid 250mg Tablet
3,Upbid 500mg Tablet
4,Upbid TZ 500mg/600mg Tablet
5,Upcan 150mg Capsule
6,Upcetam 1200mg Tablet
7,Upcetam 800mg Tablet
8,Upclock 0.5mg Tablet
9,Upcyte-P Tablet
10,Update AA 10mg Tablet
11,Updet 2% Ointment
12,Updox 100mg Capsule
13,Upee Fast 425mg/325mg Tablet
14,Upenta DM 10mg/20mg Capsule
15,Uperow Plus 0.4mg/0.5mg Tablet
16,Upgar Powder Lemony Orange Sugar Free
17,Upgl N 75mg/10mg Tablet
18,Upgrow Forte Syrup
19,Uphold Tablet
20,Upketo 2% Soap
21,Upkip 50mg Capsule
22,Uplift 50mg Tablet
23,Upmef Spas 10mg/250mg Tablet
24,Upmodus 0.5mg/10mg Tablet
25,Upmont 5mg Tablet
26,Upmont 5mg Tablet
27,Upmont LC Kid 2.5mg/4mg Tablet
28,Upmont-LC Tablet
29,Upod 100mg Dry Syrup
30,Upod 200mg Tablet
31,Upod 50mg Dry Syrup
32,Upod-CV 200mg/125mg Tablet
33,Upova 2.5mg Tablet
34,Upred 40mg Injection
35,Upred 4mg Tablet
36,Upright 100 mg/500 mg Tablet
37,Upright MR 100 mg/500 mg/250 mg Tablet
38,Uprise-D3 6L Injection 1ml
39,Uprise-D3 6L Injection 1ml
40,Uprise-D3 7.5mg Injection
41,Uprise-D3 Oral Drops
42,Uprize 10mg Tablet
43,Upspar 100mg Tablet
44,Upstal 10mg Tablet
45,Upstal P 10mg/500mg Tablet
46,Uptofive Tablet
47,Upton 200mg Tablet
48,Upton CT 200mg/600mg Tablet
49,Uptonin Nasal Spray
50,Upvid 200mg Tablet
51,Upvid OR 200mg/500mg Tablet
52,Upvid TZ 200mg/600mg Tablet
53,Upwardz 10 Tablet
54,Upwardz 20mg Tablet
55,Upxiga 100000IU Injection
56,Upxime 200mg Tablet DT
57,Upxime CV 200mg/125mg Tablet
58,Upxime O 200mg/200mg Tablet
59,Upxime-LB Tablet
60,Upzyl N Suspension
