,items
0,Vabcard 5mg Tablet
1,Vabcefi 200 Tablet
2,Vabclav 625 Tablet
3,Vabderm-K Soap
4,Vabdolo P Tablet
5,Vabdolo SP 100mg/325mg/15mg Tablet
6,Vabhista 120mg Tablet
7,Vabhista AM 5mg/60mg Tablet
8,Vabitus-LS Syrup
9,Vabmont F 10mg/120mg Tablet
10,Vabmont L 5mg/10mg Tablet
11,Vabra 20mg Tablet
12,Vabra 40mg Tablet
13,Vabrab 20 Tablet
14,Vabrab-DSR Capsule
15,Vabscab Soap
16,Vacitane 2mg Tablet
17,Vacitane 5mg Tablet
18,Vacitane 5mg Tablet
19,Vacitane CH 100mg/2mg Tablet
20,Vacitane Plus 5mg/2mg Tablet
21,Vacosteo 5mg/100ml Infusion
22,Vacox 10mg Tablet
23,Vacox 40mg Tablet
24,Vactulose Syrup
25,Vactyph Vaccine
26,Vactyph Vaccine
27,Vacxone 1Gm Injection
28,Vacxone T 1000mg/125mg Injection
29,Vacxone-S Injection
30,Vader 60mg Tablet
31,Vader 90mg Tablet
32,Vadliv 300mg Tablet
33,Vadliv 300mg Tablet
34,Vadoxil Plus 10mg/10mg/2.5mg Tablet
35,Vag 450 Tablet
36,Vagacyte 450mg Tablet
37,Vagator 10mg Tablet
38,Vagator 20mg Tablet
39,Vagbod 0.2 Tablet
40,Vagbod 0.3 Tablet
41,Vageston 100mg Capsule
42,Vageston 100mg Injection
43,Vageston 200mg Capsule
44,Vageston 300mg Capsule
45,Vagi CL Tablet VT
46,Vagi Kit
47,Vagi Tablet VT
48,Vagi Vaginal cream
49,Vagibact Softule
50,Vagid 100mg Pessaries
51,Vagid CL Suppository
52,Vagikrem Vaginal Capsule
53,Vagilyte 2% Vaginal gel
54,Vagilyte Plus Vaginal Capsule
55,Vagimoist Vaginal cream
56,Vagimycin Vaginal Capsule
57,Vaginil 1% Vaginal cream
58,Vaginil Spray
59,Vaginobact 1000 mg/750 mg/150 mg Tablet
60,Vagisoft 3 Vaginal Suppository
61,Vagivib 100mg/200mg Vaginal Capsule
62,Vagolate 0.2mg Injection
63,Vagolip 10mg Tablet
64,Vagolip 20 Tablet
65,Vaidic Tablet
66,Vaidik 50mg/325mg/10mg Tablet
67,Vainlink 1500mcg Injection
68,Vainlink 1500mcg Injection
69,Vainlink P 750mcg/75mg Tablet
70,Vakcef 100 DT Tablet
71,Vakcef 200mg Tablet
72,Vakcef Dry Syrup
73,Vakcet Oral Suspension
74,Vakcet Oral Suspension
75,Vaktear Eye Drop
76,Val 200mg Tablet
77,Val 200mg Tablet XR
78,Val 200mg Tablet XR
79,Val 300mg Tablet XR
80,Val 5mg Tablet
81,Val 5mg Tablet
82,Val Cap 333mg/145mg Tablet CR
83,Val Cetril 5mg Tablet
84,Valaid SP 50 mg/325 mg/15 mg Tablet
