,items
0,Vucef 100 Tablet DT
1,Vucef 200 Tablet DT
2,Vucef 50 Dry Syrup
3,Vucef LB 50mg Dry Syrup
4,Vucef LB Tablet
5,Vucef-CV 325 Tablet
6,Vucef-O Tablet
7,Vucil 500mg/125mg Tablet
8,Vucil 500mg/125mg Tablet
9,Vucil Dry Syrup
10,Vucillin 1gm/0.2gm Injection
11,Vucol LC 5mg/10mg Tablet
12,Vucort 6 Tablet
13,Vudic Fast Injection
14,Vudic-S Tablet
15,Vudic-SP Tablet
16,Vufol 5mg Tablet
17,Vulacin 500mg/125mg Tablet
18,Vulacin Dry Syrup
19,Vulanox 1000mg/200mg Injection
20,Vulanox 1000mg/200mg Injection
21,Vulanox 250mg/50mg Injection
22,Vulcan 150mg Tablet
23,Vulide P 100mg/325mg Tablet
24,Vulnus 200 Soft Gelatin Capsule
25,Vulox 1000mg/200mg Injection
26,Vulpraz DSR 30 mg/20 mg Capsule
27,Vultopan D 30mg/40mg Capsule SR
28,Vulvoclin Vaginal Capsule
29,Vupox 40mg Tablet
30,Vupox D 10mg/40mg Tablet
31,Vupox-DSR Capsule
32,Vuprex Tablet
33,Vuprin-SR Tablet
34,Vuprox-SR Tablet
35,Vurolam 1500mcg Injection
36,Vurolam-Plus Injection
37,Vurolam-Plus Injection
38,Vutacare 200mg Soft Gelatin Capsule
39,Vuther 150mg Injection
