,items
0,Wyace 100mg Tablet
1,Wyace 200mg Tablet SR
2,Wyace Plus 100mg/500mg Tablet
3,Wyaze 500mg Tablet
4,Wycalm 0.25mg Tablet
5,Wycalm 0.5mg Tablet
6,Wycef 1000mg Injection
7,Wycef 250mg Injection
8,Wycef 500mg Injection
9,Wycef S 1000mg/500mg Injection
10,Wycef S 250mg/125mg Injection
11,Wycef S 500mg/250mg Injection
12,Wyceft 1000mg Injection
13,Wyceft 250mg Injection
14,Wyceft 250mg Tablet
15,Wyceft 500mg Tablet
16,Wycel 200mg Capsule
17,Wycid 20mg Capsule
18,Wycid Plus 10mg/20mg Capsule
19,Wycin 100mg Injection
20,Wycin 100mg Injection
21,Wycin 250mg Injection
22,Wycin 500mg Injection
23,Wyclav CV 250mg/125mg Tablet
24,Wyclav Dry Syrup
25,Wyclav-CV 625 Tablet
26,Wyclida 300mg Capsule
27,Wyclida 300mg Injection
28,Wyclida-CZ Vaginal Softgel Capsule
29,Wyclovir 250mg Injection
30,Wyclox Capsule
31,Wycoff BM Syrup
32,Wycon 150mg Tablet
33,Wycox 450mg/300mg Capsule
34,Wycrimox 1000mg/200mg Injection
35,Wydase Forte 10mg Tablet
36,Wydrox 250mg Tablet
37,Wydrox 250mg Tablet
38,Wydrox 500mg Tablet
39,Wydrox Dry Syrup
40,Wydrox Dry Syrup
41,Wyfix 100mg Tablet DT
42,Wyfix 200mg Tablet DT
43,Wyfix 50mg Dry Syrup
44,Wyfix AZ 200mg/250mg Tablet
45,Wyfix CV 200mg/125mg Tablet
46,Wyfix-O Tablet
47,Wyflame 100mg/500mg/10mg Tablet
48,Wyflox 100mg Tablet DT
49,Wyflox 100mg Tablet DT
50,Wyflox 200mg Tablet
51,Wyflox 400mg Tablet
52,Wyflox 50mg Oral Suspension
53,Wyflox 50mg Syrup
54,Wyflox M Suspension
55,Wyflox OZ 200mg/500mg Tablet
56,Wyflox OZ Syrup
57,Wyflox OZ Syrup
58,Wyflox OZ Syrup
59,Wyflox TZ 400mg/600mg Tablet
60,Wyject Injection
61,Wykacin 100mg Injection
62,Wylan 30mg Capsule
63,Wylid 100mg Tablet
64,Wylor 10mg Tablet
65,Wymesone 0.5mg Tablet
66,Wymesone 4mg Injection
67,Wymet 500mg Tablet SR
68,Wymox 125mg Dry Syrup
69,Wymox 125mg Dry Syrup
70,Wymox 250mg Capsule
71,Wymox 250mg Injection
72,Wymox 250mg Tablet DT
73,Wymox 500mg Capsule
74,Wymox 500mg Injection
75,Wymox Kid 125mg Tablet
76,Wynax 500mg/150mg Tablet
77,Wyngat Eye Drop
78,Wynim P 100mg/325mg Tablet
79,Wynlote 0.5% Eye Drop
80,Wynnum 5gm Injection
81,Wyon 150mg Tablet
82,Wypal 200 mg/40 mg Suspension
83,Wypal 400mg/80mg Tablet
84,Wypal 800mg/160mg Tablet
85,Wypal Suspension
86,Wypal Syrup
87,Wypan 40mg Injection
88,Wypan 40mg Tablet
89,Wypar 100mg/500mg Tablet
90,Wypod 100mg Tablet
91,Wypod 200mg Tablet
92,Wypod 50mg Syrup
93,Wypod 50mg Tablet
94,Wypred 5mg Tablet
95,Wyproz 20mg Capsule
96,Wyquine 300mg Tablet
97,Wyquine 300mg Tablet
98,Wyrab 20mg Tablet
99,Wyrab D 10mg/20mg Tablet
100,Wyrox Suspension
101,Wyrox Suspension
102,Wyserin 250mg Tablet
103,Wyserin 500mg Tablet
104,Wysodol 400mg/325mg Tablet
105,Wysolone 10 Tablet DT
106,Wysolone 20 Tablet DT
107,Wysolone 30mg Tablet
108,Wysolone 40mg Tablet
109,Wysolone 5 Tablet DT
110,Wysonit 10mg Tablet
111,Wysonit 5mg Tablet
112,Wyspar 200mg Tablet
113,Wyspas 10mg/250mg Tablet
114,Wyspas DS Oral Suspension
115,Wyspas Oral Suspension
116,Wytax 1000mg Injection
117,Wytax 200mg Tablet
118,Wytax 250mg Injection
119,Wytax 500mg Injection
120,Wythar 250mg Tablet
121,Wythar 500mg Tablet
122,Wythar Oral Drops
123,Wytopan 40 Tablet
124,Wytopan-D Tablet
125,Wytopan-DSR Capsule
126,Wytorab 20 Tablet
127,Wytorab-D Tablet
128,Wytorab-DSR Capsule
129,Wytorab-XL Capsule SR
130,Wytoram 500mg/800mg Tablet
131,Wytoram C 250mg Injection
132,Wytoram C 500mg Tablet
133,Wytrol Capsule
134,Wytrol Capsule
135,Wytuss Syrup
136,Wyu Podze 200mg/250mg Tablet
137,Wyuclav-625 LB Tablet
138,Wyukoxia 120mg Tablet
139,Wyurab L 75mg/20mg Capsule SR
140,Wyurab-DSR 30mg/20mg Capsule
141,Wyzone Injection
