,items
0,X-Cain 2% Injection
1,X-Cain 2% Jelly
2,X-Cid Syrup
3,X-Clo 100 Tablet
4,X-Clo 25mg Tablet
5,X-Clo 50mg Tablet
6,X-Dip-MR Tablet
7,X-Gic Tablet
8,X-Gic-Mk Syrup
9,X-Gra 100mg Tablet
10,X-Jem 500 Tablet
11,X-Life 100mg Tablet DT
12,X-Life 200mg Tablet DT
13,X-Life Dry Syrup
14,X-Life OF 200mg/200mg Tablet
15,X-Mine Injection
16,X-Mont LC Kid Tablet DT
17,X-Mont LC Tablet
18,X-Nac 100mg/500mg Tablet
19,X-Nate Injection Combipack
20,X-Nor Tablet
21,X-Out 21 Tablet
22,X-Out 21L Tablet
23,X-Para 100mg/500mg Tablet
24,X-Pod 200 Tablet
25,X-Pod 50 Dry Syrup
26,X-Pro 10mg Tablet
27,X-Ride 10mg Tablet
28,X-Ride 40mg Capsule SR
29,X-TRAN 500MG TABLET
30,X-TRAN-MF 500MG/250MG TABLET
31,X-Tears 0.5% Eye Drop
32,X-Vis 1500 Injection
33,X-Vis 250 Tablet
34,X-Vis 500mg Tablet
35,X-Well 250mg Tablet
36,X-Well 500 Tablet
37,X-Zone 1gm Injection
38,X-Zone 250 Injection
39,X-Zone 500 Injection
40,X-Zone-SB 1.5gm Injection
41,X-pecia 10% Gel
42,X-pecia 1mg Tablet
43,X-pecia Gel
