,items
0,Xo 2% Mouth Wash
1,Xobin 20 Tablet
2,Xobrin Oral Suspension
3,Xoburic 40 Tablet
4,Xoburic 40mg Tablet
5,Xocam MR 8mg/4mg Tablet
6,Xocam P 8mg/325mg Tablet
7,Xoclave -Duo Dry Syrup
8,Xoclave 228.5 DT Tablet
9,Xoclave 375 Tablet
10,Xoclave 625 Tablet
11,Xoclave 875mg/125mg Tablet
12,Xoclave Dry Syrup
13,Xocort 6mg Tablet
14,Xocort Oral Suspension
15,Xocort Oral Suspension
16,Xodep 12.5mg Tablet CR
17,Xodep 25mg Tablet CR
18,Xodil Syrup Sugar Free
19,Xodil-DX Syrup Sugar Free
20,Xodop 100mg Tablet
21,Xodop 200mg Tablet
22,Xodop Syrup
23,Xof 100mg Tablet
24,Xof 200mg Tablet
25,Xof 400mg Tablet
26,Xof M Suspension
27,Xof OZ 200mg/500mg Tablet
28,Xof Suspension
29,Xofdim 100mg Tablet
30,Xofdim 50mg Tablet
31,Xofdim 50mg Tablet DT
32,Xofen 4mg Tablet
33,Xofen 8mg Tablet
34,Xofenadin MK 10mg/120mg Tablet
35,Xofex 200mg Tablet
36,Xofex Syrup
37,Xofex Tablet XL
38,Xofex XL Tablet
39,Xoflo 250mg Tablet
40,Xoflo 500mg Tablet
41,Xoflo TZ 500mg/600mg Tablet
42,Xoflon 200 Tablet
43,Xoflox 400mg Tablet
44,Xoflox TZ 400mg/600mg Tablet
45,Xoftad 1000mg Injection
46,Xoftad 250mg Injection
47,Xoftad 500mg Injection
48,Xoftad S 1000mg/500mg Injection
49,Xoftad S 250mg/125mg Injection
50,Xoftad S 500mg/250mg Injection
51,Xogar 200mg Tablet
52,Xoin 0.15ml Injection
53,Xoin Gastro Kit
54,Xolabin Injection
55,Xolair 150mg Injection
56,Xolan 20mg Tablet
57,Xolcef 500mg Tablet
58,Xole 40mg Injection
59,Xole 40mg Tablet
60,Xole DM 10 mg/20 mg Tablet
61,Xole DSR 30 mg/40 mg Tablet
62,Xolfo 200 Tablet
63,Xolfo 400mg Tablet
64,Xolfo OZ Oral Suspension
65,Xolfo OZ Oral Suspension
66,Xolfo-OZ Tablet
67,Xolid 600mg Infusion
68,Xolid Tablet
69,Xolide Plus Syrup
70,Xolide Plus Tablet
71,Xolin XT Syrup
72,Xoline Nasal Drops
73,Xoline P Nasal Drops
74,Xolmi-H 12.5mg/20mg Tablet
75,Xolnic 4mg Injection
76,Xolocold Tablet
77,Xolodic 75mg Injection
78,Xolodic Tablet
79,Xolodic-SP Tablet
80,Xolonac P 250mg Oral Suspension
81,Xolonac P 250mg Oral Suspension
82,Xolonac SP 100mg/325mg/15mg Tablet
83,Xolonac-P Tablet
84,Xolonac-TH 4 Tablet
85,Xolone 200 mg/500 mg Tablet
86,Xolopred 4mg Tablet
87,Xolorab D 30mg/20mg Capsule SR
88,Xoloxin 250mg Tablet
89,Xoloxin 500mg Tablet
90,Xoloxin OZ 250mg/500mg Tablet
91,Xolybex 0.5mg Tablet
92,Xolybex 1mg Tablet
93,Xolycef 1000mg Injection
94,Xolycef SB 1000 mg/500 mg Injection
95,Xolycef TZ 1000 mg/125 mg Injection
96,Xom 40 Injection
97,Xom Kid Tablet DT
98,Xom-D Capsule SR
99,Xomik 100mg Injection
100,Xomik 250mg Injection
101,Xomik 500mg Injection
102,Xomitan 20mg Tablet
103,Xomitan 40mg Tablet
104,Xomitan-H 12.5mg/20mg Tablet
105,Xomitan-H 12.5mg/40mg Tablet
106,Xonabact 1000mg/500mg Powder for Injection
107,Xonacef 1000mg Injection
108,Xonacef 125mg Injection
109,Xonacef XP 1000mg/500mg Injection
110,Xonacef XP 250mg/125mg Injection
111,Xonacef XP 500mg/250mg Injection
112,Xonbrex 1000 Injection
113,Xonbrex-S Injection
114,Xonbrex-TZ Injection
115,Xoncefa 500 Tablet
116,Xondase Forte 20mg Tablet
117,Xondmet 2mg Injection
118,Xondmet 4mg Tablet
119,Xone 1000mg Injection
120,Xone 2000mg Injection
121,Xone 250mg Injection
122,Xone 500mg Injection
123,Xone Ceff 1000mg Injection
124,Xone Ceff 250mg Injection
125,Xone Ceff 500mg Injection
126,Xone Ceff S 1000mg/500mg Injection
127,Xone Hospital 1000mg Injection
128,Xone O 200mg/200mg Tablet
129,Xone SB 1000 mg/500 mg Injection
130,Xone SB 250 mg/125 mg Injection
131,Xone SB 500 mg/250 mg Injection
132,Xone XP 1000 mg/125 mg Injection
133,Xone XP Kid 250 mg/31.25 mg Injection
134,Xone XP XP 500 mg/62.5 mg Injection
135,Xoneact 1000mg Injection
136,Xoneact 250mg Injection
137,Xoneact 500mg Injection
138,Xoneact SB 1000mg/500mg Injection
139,Xoneact SB 250mg/125mg Injection
140,Xoneden 1000mg Injection
141,Xoneden 250mg Injection
142,Xoneden 500mg Injection
143,Xoneden SB 1000mg/500mg Injection
144,Xoneden SB 250mg/125mg Injection
145,Xonefit 1gm Injection
146,Xonefit 250mg Injection
147,Xonefit 500 Injection
148,Xonefit-S 1.5gm Injection
149,Xonefit-T 1.125 Injection
150,Xonefit-T 562.5mg Injection
151,Xonejet 1000mg Injection
152,Xonejet 500mg Injection
153,Xonejet S 1000mg/500mg Injection
154,Xonejet S 250mg/125mg Injection
155,Xonejet S 500mg/250mg Injection
156,Xonejet TZ 1000mg/125mg Injection
157,Xonetri-S 0.5gm/0.5gm Injection
158,Xonift  100mg Tablet
159,Xonline 1000mg Injection
160,Xonmed 1000 Injection
161,Xonmed 250mg Injection
162,Xonmed SB 250mg/125mg Injection
163,Xonmed SB 250mg/125mg Injection
164,Xonmed-SB 1.5 Injection
165,Xonocef 1000mg/500mg Injection
166,Xontaz 1000mg/125mg Injection
167,Xontrax 1000mg Injection
168,Xontrax 250mg Injection
169,Xontrax 500mg Injection
170,Xontrax SL 1000mg/500mg Injection
171,Xontrix 1000mg Injection
172,Xontrix 250mg Injection
173,Xontrix 500mg Injection
174,Xontrix SB 1000mg/500mg Injection
175,Xontrix SB 250mg/125mg Injection
176,Xontrix TZ 1000mg/125mg Injection
177,Xonus-D Syrup
178,Xonus-G Syrup
179,Xonus-PD Syrup
180,Xony-CF 1.5gm Injection
181,Xop 1000 mg/125 mg Injection
182,Xop 100mg Tablet DT
183,Xop 200mg Tablet
184,Xop 50mg Dry Syrup
185,Xop 50mg Tablet DT
186,Xop CV 100 mg/62.5 mg Tablet
187,Xop CV 200 mg/125 mg Tablet
188,Xop L 200 mg/250 mg Tablet
189,Xop OL 200mg/200mg Tablet
190,Xopi 20mg Tablet
191,Xopi 40mg Injection
192,Xopla 200mg/200mg Tablet
193,Xor 10mg Tablet
194,Xor 150mg Tablet
195,Xor 20mg Tablet
196,Xor 40mg Tablet
197,Xor A 150mg/30mg Tablet
198,Xor F 160mg/10mg Capsule
199,Xor F 160mg/5mg Capsule
200,Xorab 20mg Tablet
201,Xorab DSR 30mg/20mg Capsule
202,Xorcet 5mg Syrup
203,Xorcet 5mg Tablet
204,Xorcet AM 5mg/10mg Tablet
205,Xorcet AM Kid 2.5mg/4mg Tablet
206,Xorcet AM Syrup
207,Xorcetam 1000mg Tablet
208,Xorcetam 250mg Tablet
209,Xorcetam 500mg Syrup
210,Xorcetam 500mg Tablet
211,Xorcetam 750mg Tablet
212,Xorcid O Syrup
213,Xorcid Syrup
214,Xorclid 300mg Capsule
215,Xorclid 600mg Injection
216,Xorecef 1500mg Injection
217,Xorecef 250mg Injection
218,Xorflox 200mg Tablet
219,Xorflox OZ 200mg/500mg Tablet
220,Xoric 100mg Tablet
221,Xoricef 250mg Tablet
222,Xoricef 500mg Tablet
223,Xorimax 250mg Tablet
224,Xorimax 500mg Tablet
225,Xoritas 1.5gm Injection
226,Xoritas 500mg Tablet
227,Xormect 125mg Dry Syrup
228,Xormect 250mg Tablet
229,Xormect 500mg Tablet
230,Xormect SB 1500mg/750mg Injection
231,Xornate LF Syrup
232,Xorpenem 1000mg Injection
233,Xortib 150mg Tablet
234,Xorzid 1000mg Injection
235,Xorzid 100mg Dry Syrup
236,Xorzid 600mg Tablet
237,Xosal Cold Syrup
238,Xosal G Syrup
239,Xosal LS Syrup
240,Xosuric 40mg Tablet
241,Xoten 10mg Tablet
242,Xoten 20 Tablet
243,Xoten 40mg Tablet
244,Xoten 5mg Tablet
245,Xoten A 10 Capsule
246,Xoten C 10mg/75mg Tablet
247,Xoten C 20mg/75mg Tablet
248,Xoten CA 75mg/10mg/75mg Tablet
249,Xoten CA 75mg/20mg/75mg Tablet
250,Xotent SB 1000mg/500mg Injection
251,Xotent SB 500mg/500mg Injection
252,Xotent TZ 1000mg/125mg Injection
253,Xova 200 Tablet
254,Xovatra Eye Drop
255,Xovatra T Eye Drop
256,Xovoltib 20mg Tablet
257,Xovoltib 30mg Tablet
258,Xovoltib 40mg Tablet
259,Xovoltib 50mg Tablet
260,Xoxe 250mg Tablet
261,Xoxe 500 Tablet
262,Xoxe Dry Syrup
263,Xoxe LZ Tablet
264,Xoxe-CV 250mg/125mg Tablet
265,Xoxe-CV Tablet
266,Xoy 500mg Injection
267,Xoy S 1000mg/500mg Injection
