,items
0,Xyace 200mg Capsule SR
1,Xyace P 100mg/325mg Tablet
2,Xyace TH 100mg/4mg Tablet
3,Xyace TH 100mg/4mg Tablet
4,Xyartz HP FSH  150IU Injection
5,Xyartz HP FSH  75IU Injection
6,Xybel 0.1% Nasal Drops
7,Xybel P 0.05% Nasal Drops
8,Xycalm 0.25mg Tablet
9,Xycalm 0.5mg Tablet
10,Xychlo  0.65% Nasal Drops
11,Xychrome 10mg Injection
12,Xyclav 1000 mg/200 mg Injection
13,Xyclav 250 mg/125 mg Tablet
14,Xyclav 500 mg/125 mg Tablet
15,Xyclav Dry Syrup
16,Xyclav Kid 200 mg/28.5 mg Tablet
17,Xycobal PG 750mcg/75mg Capsule
18,Xycon-S Nasal Drops
19,Xycon-S Nasal Drops
20,Xycotic 25mg Tablet
21,Xycotic 6mg Oral Drops
22,Xycovit GB 300mg/500mcg Tablet
23,Xycovit P 750mcg/75mg Capsule SR
24,Xydap 30mg Tablet
25,Xydyl 2mg Tablet
26,Xyeter 500mg Tablet
27,Xyfix Extend 500mg Tablet
28,Xyfix Rapid  500mg Tablet
29,Xyfix Rapid 650mg Tablet
30,Xyflox 200mg Tablet
31,Xyflox TZ 200mg/600 mg Tablet
32,Xygrel 90 Tablet
33,Xygrel-AS Combikit
34,Xykaa BD 1000mg Tablet
35,Xykaa Extend 1000 Tablet
36,Xykaa Extend Tablet ER
37,Xykaa MR 4 Tablet
38,Xykaa MR 8 Tablet
39,Xykaa Plus Tablet
40,Xykaa Rapid 650 Tablet
41,Xykaa Rapid Tablet
42,Xykaa TD 650mg Tablet
43,Xylanta 400 mg/20 mg Tablet
44,Xylanta DS 800 mg/40 mg Tablet
45,Xylanta Suspension
46,Xylap Cream
47,Xylase Tablet
48,Xylem A Cream
49,Xylen Nasal Drops
50,Xylid M DS Oral Suspension
51,Xylid M Oral Suspension
52,Xylid P 100mg/325mg Tablet
53,Xylid PC Tablet
54,Xylin 400mg Tablet
55,Xylin P 10mg/10mg/2.5mg Tablet
56,Xylistin 0.5MIU Injection
57,Xylistin 1MIU Injection
58,Xylistin 4.5MIU Injection
59,Xylistin Forte 2MIU Injection
60,Xylistin Forte Plus 3MIU Injection
61,Xylo 0.5mg Tablet
62,Xylo 100mg Tablet DT
63,Xylo 2% Infusion
64,Xylo 2% Injection
65,Xylo 4% Injection
66,Xylo Adult Nasal Drops
67,Xylo CV 200mg/125mg Tablet
68,Xylo LB 200mg Tablet
69,Xylo O 200mg/200mg Tablet
70,Xylo OZ 200mg/500mg Tablet
71,Xylo Ointment
72,Xylo-SP Tablet
73,Xyloact Injection
74,Xyloact-D Tablet
75,Xylocaine 1% Injection
76,Xylocaine 2% Injection
77,Xylocaine 2% Jelly
78,Xylocaine 2% Jelly
79,Xylocaine 4% Injection
80,Xylocaine 5% Injection
81,Xylocaine 5% Ointment
82,Xylocaine Adrenaline 2% Injection
83,Xylocaine Heavy 5% Injection
84,Xylocaine Spray
85,Xylocaine Viscous Solution
86,Xylocard 2% Injection
87,Xylofast Jelly
88,Xylofast Jelly
89,Xylofin Nasal Drops
90,Xylojeev Nasal Drops
91,Xylojeev P Nasal Drops
92,Xylokast Kid 2.5mg/4mg Tablet
93,Xylokast Tablet
94,Xyloking Eye Drop
95,Xyloline Paediatric 0.05% Nasal Drops
96,Xylomet Nasal Drops
97,Xylomet P Nasal Drops
98,Xylomet S Nasal Drops
99,Xylomin 10mg/10mg/2.5mg Tablet
100,Xylomonas 1Million IU Injection
101,Xylomonas 2Million IU Injection
102,Xylomonas 3Million IU Injection
103,Xylomonas 4.5 MIU Injection
104,Xylomox 500mg Capsule
105,Xylomox CV 250mg/125mg Tablet
106,Xylomox CV 500mg/125mg Tablet
107,Xylomox CV Syrup
108,Xylomox CV Syrup
109,Xylone Adult Nasal Spray
110,Xylone Paediatric Nasal Drops
111,Xylonex 0.1% Nasal Drops
112,Xylonex 0.1% Nasal Drops
113,Xylonex P 0.05% Nasal Drops
114,Xylonil 0.1% Nasal Drops
115,Xylonite 0.25mg Tablet
116,Xylonite 0.5mg Tablet
117,Xylonumb 2% Injection
118,Xylopain SP 100mg/325mg/15mg Tablet
119,Xylopan 40mg Tablet
120,Xylopan DSR Capsule
121,Xylopen Paediatric 0.05% Nasal Drops
122,Xyloplus Ointment
123,Xylopred 40mg Injection
124,Xylopred 80 Injection
125,Xylopred-S 125mg Injection
126,Xylorax 0.1% Nasal Drops
127,Xylorex Nasal Spray
128,Xylorin 0.1% Nasal Drops
129,Xylorin-P Nasal Drops
130,Xyloson Adult Nasal Drops/Spray
131,Xyloson Pediatric 0.05% Nasal Drops
132,Xylotem 0.1% Eye Drop
133,Xylotin 100mg Injection
134,Xylotin 50mg Injection
135,Xylotone 0.05% Nasal Drops
136,Xylotox Injection
137,Xylover Nasal Drops
138,Xylover P 0.05% Nasal Drops
139,Xylovin Nasal Drops
140,Xylovin Nasal Drops
141,Xylovin Nasal Drops
142,Xylovin Nasal Drops
143,Xylovir 1% Nasal Drops
144,Xylovir 400mg Tablet
145,Xylovir 800mg Tablet
146,Xylovir Baby 0.025% Nasal Drops
147,Xylovis 0.1% Nasal Drops
148,Xylovis Oral Topical Solution
149,Xylovis-P Nasal Drops
150,Xylox 2% Gel
151,Xylox 2% Injection
152,Xylox Adult 0.1% Nasal Spray
153,Xylox Adult 0.1% Nasal Spray
154,Xylox Heavy 75mg Injection
155,Xym 50mg Syrup
156,Xymepill DS Tablet
157,Xymet 0.05% Nasal Drops
158,Xymet 0.1% Nasal Drops
159,Xymet 0.1% Nasal Drops
160,Xymoheal D Tablet
161,Xymoheal Forte Tablet
162,Xymol 40mg Tablet
163,Xymol M Syrup
164,Xymoxi 500mg/125mg Tablet
165,Xynal Nasal Spray
166,Xynase 0.1% Nasal Spray
167,Xynate 500 mg/125 mg Tablet
168,Xynosure Aqua 75mg Injection
169,Xynosure S 50mg/10mg Tablet
170,Xynosure SP 50mg/325mg/15mg Tablet
171,Xynova 2% Injection
172,Xynova 5% Injection
173,Xynova Gel
174,Xynova P Cream
175,Xynova P Gel
176,Xyomist Mouth Spray
177,Xyorg 20mg Tablet
178,Xyotin Injection
179,Xypace 100mg/325mg Tablet
180,Xypar Rapid 500mg Tablet
181,Xypril 2.5mg Capsule
182,Xypril 5mg Capsule
183,Xypril H 2.5mg/12.5mg Capsule
184,Xyprost Eye Drop
185,Xyprost TM Eye Drop
186,Xyrax 25mg Tablet
187,Xyraze-OZ Tablet
188,Xyron 75mg Injection
189,Xyroprol 25mg Tablet XR
190,Xyroprol 50mg Tablet XR
191,Xyrox 150mg Tablet
192,Xyroxi 150mg Tablet
193,Xyroxi-A 150mg/30mg Tablet
194,Xysal 5mg Tablet
195,Xytaz 1000mg/125mg Injection
196,Xytaz 250mg/31.25mg Injection
197,Xytel H 40mg/12.5mg Tablet
198,Xytid 125mg Tablet
199,Xytid 250mg Tablet
200,Xytid 500mg Tablet
201,Xytid BR 250mg/8mg Capsule
202,Xytroy Rapid  500mg Tablet
203,Xyvent 5mg Tablet
204,Xyvent M 5mg/10mg Tablet
205,Xyvent M Kid 2.5mg/4mg Tablet
206,Xyzac 5mg Tablet
207,Xyzal 10mg Tablet
208,Xyzal 5mg Tablet
209,Xyzal 5mg Tablet
210,Xyzal A 5 mg/30 mg Syrup
211,Xyzal A 5 mg/75 mg Capsule
212,Xyzal M Kid(DT) Tablet
213,Xyzal M Suspension
214,Xyzal M Tablet
215,Xyzal M Tablet
216,Xyzal Nasal Spray
217,Xyzal Syrup
218,Xyzid 20mg Tablet
