,items
0,Yeale 100mg Tablet
1,Yeclo 100mg Tablet
2,Yeclo 200mg Tablet SR
3,Yeclo D 100mg/50mg Tablet
4,Yeclo MR 100mg/325mg/250mg Tablet
5,Yeclo P 100mg/500mg Tablet
6,Yeclo SP 100mg/325mg/15mg Tablet
7,Yecold 30mg/4mg/500mg/10mg Tablet
8,Yecold Syrup
9,Yees 20mg Tablet
10,Yees 40 Tablet
11,Yees 40mg Injection
12,Yees-D Capsule SR
13,Yefix Plus 200mg/200mg Tablet
14,Yefix Syrup
15,Yefix-LB 100mg/30Million spores Tablet
16,Yefix-LB 200mg/60Million spores Tablet
17,Yeftri 1000mg Injection
18,Yeftri S 1000mg/500mg Injection
19,Yefur 250 Tablet
20,Yefur 500 Tablet
21,Yefur 500 Tablet
22,Yehept Syrup
23,Yekin 50 mg/20 mg Tablet
24,Yekin 75mg Injection
25,Yekin Gel
26,Yekin S 50 mg/20 mg Tablet
27,Yelcef 100mg Tablet
28,Yelcef 200mg Tablet
29,Yelcef 50mg Tablet
30,Yelcef-Clav 200mg/125mg Tablet
31,Yelcef-D 200mg/500mg Tablet
32,Yelcef-O 200mg/200mg Tablet
33,Yellowpam 10 Tablet
34,Yemetil 100mg Tablet
35,Yemetil 200mg Tablet
36,Yemetil 25mg Tablet
37,Yemetil 50mg Tablet
38,Yenac 75mg Injection
39,Yenac MR 250mg/50mg/325mg Tablet
40,Yenac P 50mg/500mg Tablet
41,Yenate Injection
42,Yencox 90 Tablet
43,Yencox-MR Tablet
44,Yenocort Tablet
45,Yenta 100mg Tablet
46,Yenta 50mg Tablet
47,Yera 40mg Injection
48,Yes 250mg Tablet
49,Yes 500mg Tablet
50,Yes P 50mg Tablet
51,Yes Syrup
52,Yesbat 10mg Tablet
53,Yesbat 20mg Tablet
54,Yescam 10mg Tablet
55,Yescam Plus 0.5mg/10mg Tablet
56,Yescef 500mg Capsule
57,Yesfexo 120 Tablet
58,Yesflox 0.3% Eye Drop
59,Yesflu 10mg Tablet
60,Yesgalin NT 75mg/10mg Tablet
61,Yesglyz G Forte 2mg/1000mg Tablet
62,Yesmox CL 500mg/125mg Tablet
63,Yesoppi L 75mg/40mg Capsule
64,Yespenta 40mg Injection
65,Yespod OX 200mg/200mg Tablet
66,Yesrox 150mg Tablet
67,Yestic 3.1g Injection
68,Yestilo 10mg Tablet
69,Yestilo 25mg Tablet
70,Yestop 40mg Injection
71,Yetacef 100 Tablet DT
72,Yetacef 50 Dry Syrup
73,Yetacef-O Tablet
74,Yetbrox Syrup
75,Yetmol Oral Suspension
76,Yetoflo 250 Tablet
77,Yetofol 200mg Tablet
78,Yetofol O 200mg/500mg Tablet
79,Yetomox 500mg Capsule
80,Yetomox 500mg/125mg Tablet
81,Yetomox CV 375 Tablet
82,Yetomox-DS Dry Syrup
83,Yetoxin 200 Tablet
84,Yetoxin-OZ Tablet
85,Yetzone 1000mg Injection
86,Yetzone T 1000mg/125mg Injection
87,Yevo AB 150mg Injection
88,Yevo Kit
89,Yevoc 100mg Injection
90,Yevoc 50mg Injection
91,Yevoclav 1000mg/200mg Injection
92,Yevoclav 375mg Tablet
93,Yevoclav 625mg Tablet
94,Yevoclav Dry Syrup
95,Yevoclav Plus Dry Syrup
96,Yevof 200 Tablet
97,Yevof 50mg Oral Suspension
98,Yevof OR Oral Suspension
99,Yevof-OR Tablet
100,Yevofung 150mg Tablet
101,Yevolid 600mg Tablet
102,Yevomin 1500mcg Injection
103,Yevomin 750mcg/75mg Capsule
104,Yevomin Plus Injection
105,Yevon 2mg Oral Suspension
106,Yevon 4mg Tablet
107,Yevonate 60mg Injection
108,Yevonate 80mg/480mg Tablet
109,Yevonem 1000mg Injection
110,Yevorab 20 Tablet
111,Yevorab A 200mg/20mg Capsule SR
112,Yevorab D 30mg/20mg Capsule SR
113,Yevorab IT 20mg/150mg Capsule SR
114,Yevorab LS 75mg/20mg Capsule SR
115,Yevorab-D Tablet
116,Yevozen 1000mg Injection
117,Yevozen 100mg Tablet
118,Yevozen 250mg Injection
119,Yevozen 500mg Injection
120,Yevozen 50mg Dry Syrup
121,Yevozen CV Dry Syrup
122,Yevozen DS 100mg Dry Syrup
123,Yevozen LB 200mg Tablet
124,Yevozen S 1000mg/500mg Injection
125,Yevozen S 250mg/125mg Injection
126,Yevozen S 500mg/250mg Injection
127,Yevozen T 1000mg/125mg Injection
128,Yevozen T 250mg/31.25mg Injection
129,Yevozen T 500mg/62.5mg Injection
130,Yevozen-CV Tablet
131,Yevozen-O Tablet
132,Yevozith 200mg Oral Suspension
133,Yevozith 250 Tablet
134,Yevozith 500 Tablet
135,Yevozith A 500mg/30mg Tablet
136,Yewbrain 800mg Tablet
137,Yewcan 150mg Tablet
138,Yewcet 10mg Tablet
139,Yewflo 250mg Tablet
140,Yewflo 500mg Tablet
141,Yewloc 10mg Tablet
142,Yewloc 5mg Tablet
143,Yexitil 500mg Tablet
144,Yezole 30mg Capsule
