,items
0,Zy DSR Capsule
1,ZyKT Cream
2,ZyKT Cream
3,ZyKT Soap
4,Zyalfa D 10 mg/0.5 mg Tablet
5,Zyalfa Tablet PR
6,Zyaqua Eye Drop
7,Zyaqua Forte Eye Drop
8,Zybact 250mg Tablet
9,Zybact 500mg Tablet
10,Zyban 150mg Tablet SR
11,Zybelol 20mg Injection
12,Zybend Oral Suspension
13,Zybend Tablet
14,Zybev 100mg Injection
15,Zybirra Tablet
16,Zybol Oral Gel
17,Zybron Expectorant
18,Zybron Expectorant
19,Zybron Plus 8 mg/100 mg Tablet
20,Zycad Capsule
21,Zycain Oral Gel
22,Zycalm 5mg Tablet
23,Zycef 1000mg Injection
24,Zycef 250mg Injection
25,Zycef 500mg Injection
26,Zycef CV 200mg/125mg Tablet
27,Zycel 100 Capsule
28,Zycel 200 Capsule
29,Zycet 10mg Tablet
30,Zycet 10mg Tablet
31,Zycet 5mg Tablet
32,Zycet AM 5mg/60mg Tablet
33,Zycet L Tablet
34,Zycet LM 5mg/10mg Tablet
35,Zycet M 5mg/10mg Tablet
36,Zycet M Kid 2.5mg/4mg Tablet
37,Zycet M Oral Suspension
38,Zyceva 100mg Tablet
39,Zyceva 150mg Tablet
40,Zycillin 250mg Capsule
41,Zycillin 500mg Capsule
42,Zycillin 500mg Injection
43,Zycin 100mg/5ml Redimix Suspension
44,Zycin 200mg/5ml Redimix Suspension
45,Zycin 250mg Capsule
46,Zycin 250mg Tablet
47,Zycin 500 Tablet
48,Zycin 500 Tablet
49,Zycin 500mg Injection
50,Zycin AM 500 mg/60 mg Tablet
51,Zycip 500mg Tablet
52,Zycit 250mg Injection
53,Zycit 500mg Tablet
54,Zyclastin 4mg Injection
55,Zyclav 250 mg/125 mg Tablet
56,Zyclav 250 mg/125 mg Tablet
57,Zyclav 500 mg/125 mg Tablet
58,Zyclav Kid 200 mg/28.5 mg Tablet
59,Zyclear Eye Drop
60,Zyclin Nano Gel
61,Zyclo Cream
62,Zyclog Ointment
63,Zyclomine 10mg/250mg Tablet
64,Zyclonac P Tablet
65,Zyclox 250 mg/250 mg Capsule
66,Zycof Syrup
67,Zycolchin Tablet
68,Zycold Syrup
69,Zycold-P Syrup
70,Zycold-P Tablet
71,Zycolin Syrup
72,Zycolis 1Million IU Injection
73,Zycomox-CV 625 Tablet
74,Zyconazol 100 Capsule
75,Zyconazol 200 Capsule
76,Zycopin 10mg Tablet
77,Zycopin 5mg Tablet
78,Zycort 6mg Tablet
79,Zycoser-DP Tablet
80,Zycoxib 90mg Tablet
81,Zycyp Syrup
82,Zydalis 10mg Tablet
83,Zydalis MD 10 Tablet
84,Zydalis MD 20 Tablet
85,Zyde MF 80 mg/500 mg Tablet
86,Zydec 50mg Injection
87,Zydep 20mg Capsule
88,Zyderm Ointment
89,Zydero 10mg/20mg Tablet
90,Zydiclo 25mg Injection
91,Zydiclo 75mg Injection 1ml
92,Zydiclo Injection
93,Zydiclo Injection 3ml
94,Zydik 50mg/10mg Tablet
95,Zydim 1000mg Injection
96,Zydim 1000mg Injection
97,Zydim 250mg Injection
98,Zydip Lotion
99,Zydip Lotion
100,Zydip-C Cream
101,Zydip-C Lotion
102,Zydol 100mg Tablet
103,Zydol-P DS Suspension
104,Zydol-P Suspension
105,Zydol-P Syrup
106,Zydotum 1000 mg/500 mg Injection
107,Zydotum Powder for Injection
108,Zydox 200mg Tablet
109,Zydox 50mg Oral Suspension
110,Zydox AZ 200mg/250mg Tablet
111,Zydox CV 200mg/125mg Tablet
112,Zydril 20mg Suspension
113,Zydrot 80mg/250mg Tablet
114,Zydryl Suspension
115,Zydum 1000mg Injection
116,Zyether Injection
117,Zyfen P 100mg/500mg Tablet
118,Zyfer 20mg Injection
119,Zyfix 100 LB Tablet DT Strawberry
120,Zyfix 100mg Dry Syrup
121,Zyfix 100mg Tablet DT
122,Zyfix 200 LB Tablet DT Strawberry
123,Zyfix 200mg Tablet DT
124,Zyfix 50 Dry Syrup
125,Zyfix 50mg Dry Syrup
126,Zyfix 50mg Dry Syrup
127,Zyfix AZ 200mg/250mg Tablet
128,Zyfix CV 200mg/125mg Tablet
